name,keywords
alcohol,"alcohol, drinking, booze, drink, beer, wine, spirits, gin, vodka, whiskey"
bike,"bike, cycling"
burger,"burger, meat, junk, food"
candy,"candy, sugar, less sugar"
carrot,"carrot, vegetable, less meat, vegetarian, health, healthy"
champagne,champagne
coffee,"caffine, coffee"
ham,"meat, ham, less meat"
honey,"sugar, less sugar, natural sugar, sweetner"
leaf,"health, detox, vegetarian, eat healthily, diet, "
lemon,lemon
pineapple,"fruit, fruit and veg, fruit and vegetables"
rowing,"challenge, rowing, row, boat"
scales,"loose, weight, pounds, kg, kilos, stone, thinner"
sneeker,"run, gym, excercise, running, work out, workout"
spaghetti,"cook, meal, home, healthy, cooking"
swim,"swim, excercise, gym"
tooth,"dentist, floss, tooth brushing, teeth, dental"
water_drop,water
weight,"gym, bench, weight, lift, pushup, push up, pullup, pull up"
yoga_mat,"meditate, yoga, mindful, mindfull, pilates"
